problem,mean,median,min,max,std_dev,solutions
3_sudoku_csp,2685.79343,139.7635,32.621700000000004,60000.1,10644.811689999999,97
3_sudoku_fastforward,29.39466,27.26565,13.577399999999999,58.546,10.37299,100
3_sudoku_handmade,15.16949,14.6234,6.38903,36.683699999999995,5.425470000000001,100
3_sudoku_hardcoded,17.505740000000003,15.6183,6.92625,55.6858,7.28396,100
4_sudoku_csp,59988.348,60000.2,58816.9,60000.3,117.73499000000001,1
4_sudoku_fastforward,915.5615600000001,865.695,461.391,2528.65,273.94495,100
4_sudoku_handmade,398.36577,388.0015,202.981,812.211,109.41035000000001,100
4_sudoku_hardcoded,558.90678,541.025,268.972,1182.94,159.74307000000002,100
5_sudoku_csp,60000.457,60000.4,60000.1,60000.9,0.24011000000000002,0
5_sudoku_fastforward,28509.0962,25733.55,9316.22,60001.9,14642.836949999999,94
5_sudoku_handmade,9464.375800000002,7637.69,2857.89,33365.6,5785.0392999999995,100
5_sudoku_hardcoded,17384.310100000002,14071.5,6156.13,58171.3,10322.7732,100
3_killer_sudoku_csp,60000.064,60000.1,60000.0,60000.1,0.048,0
3_killer_sudoku_fastforward,2413.69312,1652.73,309.691,16638.3,2292.68474,100
3_killer_sudoku_handmade,1180.68976,827.3785,127.394,6296.62,978.76243,100
3_killer_sudoku_hardcoded,1568.59513,1196.625,143.397,6881.05,1142.51273,100
25_magic_square_csp,10450.9679,8561.33,4736.3,33293.8,5511.71515,100
25_magic_square_fastforward,9724.7044,6114.97,1064.15,49292.4,9812.33522,100
25_magic_square_hardcoded,6853.34346,5162.485,946.963,26844.6,5585.841780000001,100
30_magic_square_csp,29956.123,27360.1,14840.2,60001.6,11472.99898,96
30_magic_square_fastforward,19109.71,16219.95,3595.33,60001.9,14365.47178,98
30_magic_square_hardcoded,14983.1859,11771.65,2939.89,58597.3,11521.23143,100
